topic_id,uuid,target_event,option_A,option_B,option_C,option_D,golden_answer,split,tsne_x,tsne_y
22,cbc1c6c5-5352-4cbe-9e5b-325f2ddb9122,Iran launched ballistic missile attacks against Al Asad and Erbil air bases in Iraq used by US and coalition forces on Tuesday night.,"On December 29, US forces conducted airstrikes at five Kataib Hezbollah facilities in Iraq and Syria, killing at least 25 people.","After 2006, Muhandis founded Kataib Hezbollah.","On December 27, Kataib Hezbollah attacked the K1 military base near Kirkuk, killing an American contractor and wounding American and Iraqi personnel.",A U.S. drone strike killed Iranian Maj. Gen. Qassem Soleimani and Abu Mahdi al-Muhandis after Muhandis picked up Soleimani from an airplane.,D,train,-39.8423,79.07009
24,26f7b66b-4a83-41d7-ba30-8f7025a83b43,"World leaders, including Fumio Kishida, Joe Biden, and Xi Jinping, sent messages of condolence to President Yoon.",The U.S. State Department confirmed at least two U.S. citizens were among the dead.,At least 153 people were killed and dozens injured.,Kim and her friend entered the alley at 8 p.m. and became trapped as the crowd density increased.,Kim and her friend crawled out of the crush and were pulled into a tavern by adults.,B,train,-29.932203,40.574177
33,4e8417f1-1c8e-4c2e-9f32-5845c4742391,French President Emmanuel Macron announced France’s withdrawal of support for the Mercosur trade deal.,MAAP released a report revealing overlap between deforestation and fire alerts in the Brazilian Amazon.,The Brazilian government struggled to contain global outrage over its environmental policies.,"Fire hotspots in indigenous territories increased by 88% from January to August compared to 2018, according to CIMI citing INPE data.",Dozens of fires scorched and are spreading across large swaths of the Amazon.,"B,D",train,29.258863,-21.324074
33,4cb6e0ab-6dfc-4939-b73e-5724f27c2470,"President Bolsonaro announced a 60-day ban on setting fires for land clearing and deployed 44,000 soldiers to seven states.",MAAP released a report revealing overlap between deforestation and fire alerts in the Brazilian Amazon.,None of the others are correct causes.,Brazilian authorities are investigating 70 farmers and land grabbers in Pará for allegedly organizing an August 10 'Day of Fire.',French President Emmanuel Macron announced France’s withdrawal of support for the Mercosur trade deal.,B,train,-58.57814,-99.67243
5,c53136d0-7ebb-467c-b872-451c59dcc7e6,Musk fired top Twitter executives.,Twitter sued Elon Musk to force the acquisition.,The Delaware Chancery Court ordered a Friday deadline for the Twitter acquisition deal to close in early October.,Elon Musk completed his $44 billion takeover of Twitter.,Elon Musk changed his profile to ‘Chief Twit’.,C,train,52.751575,58.57944
29,df67db49-4acb-48cc-9e2c-7980fa6214f3,Walmart and Amazon are investigating issuing their own stablecoins in the U.S.,"On June 17, 2025, the U.S. Senate passed the GENIUS Act.","On May 20, 2025, the Senate voted 66-32 to advance a modified version of the GENIUS Act.",President Donald Trump pardoned Ross Ulbricht.,President Donald Trump established a national Bitcoin reserve.,A,train,90.06037,-15.661599
23,fc0a8fc0-ea3e-4e17-a617-da2468c5b446,China banned food imports from 10 Japanese prefectures and imposed radiation checks in response to the water release.,The IAEA will maintain an on-site presence for the duration of the release.,TEPCO began releasing the first batch of treated radioactive water into the Pacific Ocean.,A TEPCO staff member activated a seawater pump and an operator confirmed the release.,A TEPCO staff member activated a seawater pump and an operator confirmed the release.,"B,C,D",train,57.50636,-90.77889
33,92c23518-0518-417d-8087-ead6d664bece,"President Bolsonaro announced a 60-day ban on setting fires for land clearing and deployed 44,000 soldiers to seven states.",Bolsonaro replaced the director of Brazil’s National Institute of Space Research with a military official.,Germany and Norway withheld tens of millions of dollars from the Amazon Fund.,French President Emmanuel Macron announced France’s withdrawal of support for the Mercosur trade deal.,"Thousands of fires burned in the Amazon rainforest in Brazil in 2019, particularly affecting Roraima, Acre, Rondônia, and Amazonas states.",D,train,-58.57814,-99.67243
3,7f0f08c6-f3c3-4d39-a08f-f0e978ccefc0,The congressional certification of Joe Biden’s victory was halted.,Trump addressed the crowd.,Trump urged supporters to march to the Capitol.,Five people died during the riots.,Trump urged supporters to march to the Capitol.,"B,D",train,1.4893041,-8.208742
5,a2a03b93-be09-43da-a591-7b184968ad6d,Musk fired top Twitter executives.,The Delaware Chancery Court ordered a Friday deadline for the Twitter acquisition deal to close in early October.,Elon Musk completed his $44 billion takeover of Twitter.,Twitter sued Elon Musk to force the acquisition.,Elon Musk changed his profile to ‘Chief Twit’.,B,train,52.751575,58.57944
30,39f6e1fb-efb3-48c2-a461-89bd845c7d1d,"The district officially unveiled Black Lives Matter Plaza on June 5, 2020.","Widespread protests erupted across the nation, including at Lafayette Square in Washington, D.C.","Widespread protests erupted across the nation, including at Lafayette Square in Washington, D.C.",The city fires all four officers.,Video of George Floyd’s last moments circulated in May.,"A,B,D",train,-0.7350838,15.079242
12,8ccff614-cd78-40f9-aa98-a80202a3604b,Huawei announced a deployment timeline for HarmonyOS on various devices between 2020 and 2022.,HarmonyOS development began in 2017.,Huawei announced HarmonyOS will be open source.,Huawei ensured HarmonyOS supports applications developed in multiple programming languages.,"Huawei was placed on a US trade blacklist, preventing Google from supplying new Huawei devices with Android OS.",D,train,112.59239,17.766155
29,80295b43-e5f3-471a-9993-b86c34803b80,The total market value of stablecoins increased from $20 billion in 2020 to $246 billion in May 2025.,Walmart and Amazon are investigating issuing their own stablecoins in the U.S.,"In 2024, the European Union adopted its Markets in Crypto-Assets (MiCA) regulation.",None of the others are correct causes.,"Fiserv announced plans to roll out a new blockchain-based digital asset platform anchored by a U.S. dollar-pegged stablecoin, FIUSD.",C,train,84.98638,-18.385113
